raw,canonical,slot,lang,priority,rule_type,review_status,ambiguity,tags,source,note
金属,Metal,material,zh,100,phrase,keep,low,material,manual,
铁,Iron,material,zh,95,stable_single,keep,low,material,manual,
钢,Steel,material,zh,95,stable_single,keep,low,material,manual,
钢铁,Steel,material,zh,100,phrase,keep,low,material,manual,
铝,Aluminum,material,zh,95,stable_single,keep,low,material,manual,
铜,Copper,material,zh,95,stable_single,keep,low,material,manual,
黄铜,Brass,material,zh,100,phrase,keep,low,material,manual,
木头,Wood,material,zh,100,phrase,keep,low,material,manual,
木,Wood,material,zh,95,stable_single,keep,low,material,manual,
木制,Wood,material,zh,95,phrase,keep,low,material,manual,
玻璃,Glass,material,zh,100,phrase,keep,low,material,manual,
布,Cloth,material,zh,100,stable_single,keep,low,material,manual,
布料,Cloth,material,zh,100,phrase,keep,low,material,manual,
塑料,Plastic,material,zh,100,phrase,keep,low,material,manual,
石头,Stone,material,zh,100,phrase,keep,low,material,manual,
石材,Stone,material,zh,95,phrase,keep,low,material,manual,
冰,Ice,material,zh,100,stable_single,keep,low,material,manual,
水,Water,material,zh,100,stable_single,keep,low,material,manual,
火,Fire,material,zh,100,stable_single,keep,low,material,manual,
纸,Paper,material,zh,100,stable_single,keep,low,material,manual,
纸张,Paper,material,zh,100,phrase,keep,low,material,manual,
皮革,Leather,material,zh,100,phrase,keep,low,material,manual,
橡胶,Rubber,material,zh,100,phrase,keep,low,material,manual,
陶瓷,Ceramic,material,zh,100,phrase,keep,low,material,manual,
混凝土,Concrete,material,zh,100,phrase,keep,low,material,manual,
泥土,Dirt,material,zh,95,phrase,keep,low,material,manual,
沙子,Sand,material,zh,100,phrase,keep,low,material,manual,
碎石,Gravel,material,zh,100,phrase,keep,low,material,manual,
骨头,Bone,material,zh,100,phrase,keep,low,material,manual,
肉,Flesh,material,zh,90,stable_single,keep,low,material,manual,
泡沫,Foam,material,zh,100,phrase,keep,low,material,manual,
泡棉,Foam,material,zh,95,phrase,keep,low,material,manual,
碳纤维,Carbon Fiber,material,zh,100,phrase,keep,low,material,manual,
锡,Tin,material,zh,90,stable_single,keep,low,material,manual,
银,Silver,material,zh,90,stable_single,keep,low,material,manual,
门,Door,object,zh,100,stable_single,keep,low,object,manual,
木门,Wood Door,object,zh,100,phrase,keep,low,door,manual,
金属门,Metal Door,object,zh,100,phrase,keep,low,door,manual,
玻璃门,Glass Door,object,zh,100,phrase,keep,low,door,manual,
车门,Car Door,object,zh,100,phrase,keep,low,door/car,manual,
抽屉,Drawer,object,zh,100,phrase,keep,low,object,manual,
箱子,Box,object,zh,100,phrase,keep,low,object,manual,
纸箱,Cardboard Box,object,zh,100,phrase,keep,low,object,manual,
木箱,Wood Box,object,zh,100,phrase,keep,low,object,manual,
金属箱,Metal Box,object,zh,100,phrase,keep,low,object,manual,
杯子,Cup,object,zh,100,phrase,keep,low,object,manual,
瓶子,Bottle,object,zh,100,phrase,keep,low,object,manual,
玻璃瓶,Glass Bottle,object,zh,100,phrase,keep,low,object,manual,
塑料瓶,Plastic Bottle,object,zh,100,phrase,keep,low,object,manual,
袋子,Bag,object,zh,100,phrase,keep,low,object,manual,
布袋,Cloth Bag,object,zh,100,phrase,keep,low,object,manual,
窗户,Window,object,zh,100,phrase,keep,low,object,manual,
地板,Floor,object,zh,100,phrase,keep,low,object,manual,
桌子,Table,object,zh,100,phrase,keep,low,object,manual,
椅子,Chair,object,zh,100,phrase,keep,low,object,manual,
柜子,Cabinet,object,zh,100,phrase,keep,low,object,manual,
锁,Lock,object,zh,100,stable_single,keep,low,object,manual,
开关,Switch,object,zh,100,phrase,keep,low,object,manual,
按钮,Button,object,zh,100,phrase,keep,low,object,manual,
绳子,Rope,object,zh,100,phrase,keep,low,object,manual,
链条,Chain,object,zh,100,phrase,keep,low,object,manual,
房间,Room,object,zh,100,phrase,keep,low,room,manual,
房间底噪,Room Tone,object,zh,100,phrase,keep,low,roomtone,manual,
办公室,Office,object,zh,100,phrase,keep,low,room,manual,
走廊,Hallway,object,zh,100,phrase,keep,low,room,manual,
大厅,Hall,object,zh,100,phrase,keep,low,room,manual,
管道,Pipe,object,zh,100,phrase,keep,low,object,manual,
轮胎,Tire,object,zh,100,phrase,keep,low,vehicle,manual,
车轮,Wheel,object,zh,100,phrase,keep,low,vehicle,manual,
钥匙,Key,object,zh,100,phrase,keep,low,object,manual,
火箭,Rocket,source,zh,100,phrase,keep,low,source,manual,
引擎,Engine,source,zh,100,phrase,keep,low,engine,manual,
发动机,Engine,source,zh,100,phrase,keep,low,engine,manual,
车辆,Vehicle,source,zh,100,phrase,keep,low,vehicle,manual,
汽车,Car,source,zh,100,phrase,keep,low,car,manual,
卡车,Truck,source,zh,100,phrase,keep,low,vehicle,manual,
摩托车,Motorcycle,source,zh,100,phrase,keep,low,vehicle,manual,
自行车,Bicycle,source,zh,100,phrase,keep,low,vehicle,manual,
飞机,Aircraft,source,zh,100,phrase,keep,low,vehicle,manual,
直升机,Helicopter,source,zh,100,phrase,keep,low,vehicle,manual,
火车,Train,source,zh,100,phrase,keep,low,vehicle,manual,
轮船,Ship,source,zh,100,phrase,keep,low,vehicle,manual,
机器人,Robot,source,zh,100,phrase,keep,low,source,manual,
机器,Machine,source,zh,100,phrase,keep,low,machine,manual,
风扇,Fan,source,zh,100,phrase,keep,low,machine,manual,
空调,Air Conditioner,source,zh,100,phrase,keep,low,machine,manual,
电机,Motor,source,zh,100,phrase,keep,low,machine,manual,
发电机,Generator,source,zh,100,phrase,keep,low,machine,manual,
武器,Weapon,source,zh,100,phrase,keep,low,weapon,manual,
手枪,Pistol,source,zh,100,phrase,keep,low,weapon,manual,
步枪,Rifle,source,zh,100,phrase,keep,low,weapon,manual,
霰弹枪,Shotgun,source,zh,100,phrase,keep,low,weapon,manual,
大炮,Cannon,source,zh,100,phrase,keep,low,weapon,manual,
弓箭,Bow And Arrow,source,zh,100,phrase,keep,low,weapon,manual,
生物,Creature,source,zh,100,phrase,keep,low,creature,manual,
怪物,Monster,source,zh,100,phrase,keep,low,creature,manual,
狗,Dog,source,zh,100,stable_single,keep,low,animal,manual,
狼,Wolf,source,zh,100,stable_single,keep,low,animal,manual,
鸟,Bird,source,zh,100,stable_single,keep,low,animal,manual,
人群,Crowd,source,zh,100,phrase,keep,low,crowd,manual,
人类,Human,source,zh,100,phrase,keep,low,human,manual,
无人机,Drone,source,zh,100,phrase,keep,low,vehicle,manual,
飞船,Spaceship,source,zh,100,phrase,keep,low,vehicle,manual,
电脑,Computer,source,zh,100,phrase,keep,low,machine,manual,
撞,Impact,action,zh,80,stable_single,keep,medium,impact,manual,声音语境默认撞击
撞击,Impact,action,zh,100,phrase,keep,low,impact,manual,
碰撞,Impact,action,zh,95,phrase,keep,low,impact,manual,
砸,Impact,action,zh,75,stable_single,keep,medium,impact,manual,默认高力度 Impact
重击,Heavy Impact,action,zh,100,phrase,keep,low,impact/heavy,manual,
敲,Knock,action,zh,65,stable_single_low_confidence,keep,medium,knock/tap,manual,可能需要 Tap/Knock 区分
敲击,Knock,action,zh,100,phrase,keep,low,knock,manual,
轻敲,Tap,action,zh,100,phrase,keep,low,tap,manual,
拍打,Slap,action,zh,100,phrase,keep,low,slap,manual,
刮,Scrape,action,zh,90,stable_single,keep,low,scrape,manual,稳定单字
刮擦,Scrape,action,zh,100,phrase,keep,low,scrape,manual,大面积粗糙刮擦
摩擦,Friction,action,zh,100,phrase,keep,low,friction,manual,默认物理摩擦状态
拖,Drag,action,zh,100,stable_single,keep,low,drag,manual,
拖动,Drag,action,zh,100,phrase,keep,low,drag,manual,
滑动,Slide,action,zh,100,phrase,keep,low,slide,manual,
滑开,Slide Open,action,zh,100,phrase,keep,low,open,manual,
推开,Push Open,action,zh,100,phrase,keep,low,open,manual,
拉开,Pull Open,action,zh,100,phrase,keep,low,open,manual,
关闭,Close,action,zh,100,phrase,keep,low,close,manual,
关门,Door Close,action,zh,100,phrase,keep,low,door,manual,
开门,Door Open,action,zh,100,phrase,keep,low,door,manual,
掉落,Drop,action,zh,100,phrase,keep,low,drop,manual,
落下,Drop,action,zh,90,phrase,keep,low,drop,manual,
摔落,Drop,action,zh,100,phrase,keep,low,drop,manual,
滚动,Roll,action,zh,100,phrase,keep,low,roll,manual,
旋转,Spin,action,zh,100,phrase,keep,low,spin,manual,
摇晃,Shake,action,zh,100,phrase,keep,low,shake,manual,
震动,Vibration,action,zh,100,phrase,keep,low,vibration,manual,
破裂,Break,action,zh,100,phrase,keep,low,break,manual,
破碎,Break,action,zh,100,phrase,keep,low,break,manual,
碎裂,Shatter,action,zh,100,phrase,keep,low,shatter,manual,
撕裂,Tear,action,zh,100,phrase,keep,low,tear,manual,
撕开,Tear Open,action,zh,100,phrase,keep,low,tear,manual,
切割,Cut,action,zh,100,phrase,keep,low,cut,manual,
刺穿,Pierce,action,zh,100,phrase,keep,low,pierce,manual,
挤压,Squeeze,action,zh,100,phrase,keep,low,squeeze,manual,
按下,Press,action,zh,100,phrase,keep,low,press,manual,
点击,Click,action,zh,100,phrase,keep,low,click,manual,
弹开,Pop Open,action,zh,100,phrase,keep,low,open,manual,
锁定,Lock,action,zh,100,phrase,keep,low,lock,manual,
解锁,Unlock,action,zh,100,phrase,keep,low,lock,manual,
启动,Start,action,zh,100,phrase,keep,low,start,manual,
停止,Stop,action,zh,100,phrase,keep,low,stop,manual,
加速,Accelerate,action,zh,100,phrase,keep,low,vehicle,manual,
减速,Decelerate,action,zh,100,phrase,keep,low,vehicle,manual,
怠速,Idle,action,zh,100,phrase,keep,low,vehicle,manual,
爆炸,Explosion,action,zh,100,phrase,keep,low,explosion,manual,
发射,Launch,action,zh,100,phrase,keep,low,launch,manual,
开火,Fire,action,zh,100,phrase,keep,low,weapon,manual,
射击,Shot,action,zh,100,phrase,keep,low,weapon,manual,
装填,Reload,action,zh,100,phrase,keep,low,weapon,manual,
脚步,Footstep,action,zh,100,phrase,keep,low,footstep,manual,
脚步声,Footstep,action,zh,100,phrase,keep,low,footstep,manual,
走路,Walk,action,zh,100,phrase,keep,low,footstep,manual,
跑步,Run,action,zh,100,phrase,keep,low,footstep,manual,
跳跃,Jump,action,zh,100,phrase,keep,low,movement,manual,
落地,Land,action,zh,100,phrase,keep,low,movement,manual,
折断,Snap,action,zh,100,phrase,keep,low,break,manual,
弯曲,Bend,action,zh,100,phrase,keep,low,bend,manual,
燃烧,Burn,action,zh,100,phrase,keep,low,fire,manual,
点燃,Ignite,action,zh,100,phrase,keep,low,fire,manual,
喷射,Spray,action,zh,100,phrase,keep,low,spray,manual,
甩动,Swipe,motion,zh,90,phrase,keep,low,swipe,manual,
嗖,,motion,zh,0,ambiguous_single,review,high,whoosh/onomatopoeia/sound-symbolic,ai_reviewed_batch,onomatopoeia_v0.1
呼啸,Whoosh,motion,zh,100,phrase,keep,low,whoosh,manual,
挥动,Whoosh,motion,zh,95,phrase,keep,low,whoosh,manual,
掠过,Flyby,motion,zh,100,phrase,keep,low,flyby,manual,
飞过,Flyby,motion,zh,100,phrase,keep,low,flyby,manual,
驶过,Driveby,motion,zh,100,phrase,keep,low,driveby,manual,
摆动,Swing,motion,zh,100,phrase,keep,low,movement,manual,
扫过,Sweep,motion,zh,100,phrase,keep,low,movement,manual,
快速移动,Fast Movement,motion,zh,100,phrase,keep,low,movement,manual,
缓慢移动,Slow Movement,motion,zh,100,phrase,keep,low,movement,manual,
移动,Movement,motion,zh,100,phrase,keep,low,movement,manual,
上升,Rise,motion,zh,100,phrase,keep,low,movement,manual,
下降,Fall,motion,zh,100,phrase,keep,low,movement,manual,
接近,Approach,motion,zh,100,phrase,keep,low,movement,manual,
远离,Recede,motion,zh,100,phrase,keep,low,movement,manual,
环绕,Orbit,motion,zh,100,phrase,keep,low,movement,manual,
回旋,Swirl,motion,zh,100,phrase,keep,low,movement,manual,
穿过,Pass Through,motion,zh,100,phrase,keep,low,movement,manual,
划过,,motion,zh,0,ambiguous_phrase,review,high,swipe/passby/slide,manual,需上下文
飞越,Flyover,motion,zh,100,phrase,keep,low,flyby,manual,
冲过,Rushby,motion,zh,100,phrase,keep,low,movement,manual,
长尾,Long Tail,detail,zh,100,phrase,keep,low,tail,manual,
尾音长,Long Tail,detail,zh,100,phrase,keep,low,tail,manual,
短促,Short,detail,zh,100,phrase,keep,low,length,manual,
硬,Hard,detail,zh,80,stable_single,keep,low,texture,manual,
柔软,Soft,detail,zh,80,phrase,keep,low,texture,manual,
重,Heavy,detail,zh,85,stable_single,keep,low,weight,manual,
轻,Light,detail,zh,85,stable_single,keep,low,weight,manual,
快速,Fast,detail,zh,90,phrase,keep,low,speed,manual,
缓慢,Slow,detail,zh,90,phrase,keep,low,speed,manual,
